,severidad_depresion_ultimo_mes,severidad_ansiedad_ultimo_mes,severidad_ideacion_ultimo_mes,inflexibilidad_psicologica,bienestar_psicologico
severidad_depresion_ultimo_mes,1.0,0.6415126094499762,0.5399903570311388,0.6042608615228029,-0.6411153903932479
severidad_ansiedad_ultimo_mes,0.6415126094499762,1.0,0.36536696331088514,0.5316626075424926,-0.4398846766844341
severidad_ideacion_ultimo_mes,0.5399903570311388,0.36536696331088514,1.0,0.43168748975981,-0.4681982725832288
inflexibilidad_psicologica,0.6042608615228029,0.5316626075424926,0.43168748975981,1.0,-0.5698329815817911
bienestar_psicologico,-0.6411153903932479,-0.4398846766844341,-0.4681982725832288,-0.5698329815817911,1.0
