Grupo,Inflexibilidad_Media,Inflexibilidad_SE,Inflexibilidad_n,Bienestar_Media,Bienestar_SE,Bienestar_n
Heterosexual,35.666666666666664,1.6672347516686776,33,15.93939393939394,0.7612034355806345,33
Diversidades,37.114754098360656,1.1406781514375868,61,16.081967213114755,0.5069436340161649,61
