método,k,Silhouette,Calinski-H,Davies-B,BIC,AIC
Gaussian Mixture,2,0.20709719950591748,167.67395894865035,1.6981659899786246,3614.0183676502775,3435.6320532649734
Gaussian Mixture,3,0.1191259940328114,116.94510649124952,2.107053804298324,1545.219425873469,1275.4645114371551
K-Means,2,0.3043341743167327,325.7889567693034,1.2356685420218199,,
K-Means,3,0.214546900592234,250.0510053332717,1.4910287704044347,,
Jerárquico (Ward),2,0.28022329266550255,292.19794698690725,1.2938893738588104,,
Jerárquico (Ward),3,0.2096957212950425,203.66246823491764,1.7714603734540295,,
Spectral,2,0.30299659814691954,317.09922987972016,1.236959230559711,,
Spectral,3,0.24205156885639723,149.47053123587597,1.9166466186308664,,
